Date,Name,Year,Letterboxd URI,Rating
2018-10-27,The Twilight Saga: Breaking Dawn - Part 2,2012,https://letterboxd.com/film/the-twilight-saga-breaking-dawn-part-2/,3
2018-10-27,The Second Mother,2015,https://letterboxd.com/film/the-second-mother/,5
2018-10-27,The Social Network,2010,https://letterboxd.com/film/the-social-network/,5
2018-10-27,How to Lose a Guy in 10 Days,2003,https://letterboxd.com/film/how-to-lose-a-guy-in-10-days/,3
2018-10-27,Battle of the Sexes,2017,https://letterboxd.com/film/battle-of-the-sexes-2017/,3.5
2018-10-27,Saint Seiya: Legend of Sanctuary,2014,https://letterboxd.com/film/saint-seiya-legend-of-sanctuary/,2
2018-10-27,Ghostbusters,1984,https://letterboxd.com/film/ghostbusters/,3.5
2018-10-27,Toy Story 3,2010,https://letterboxd.com/film/toy-story-3/,4.5
2018-10-27,Corpse Bride,2005,https://letterboxd.com/film/corpse-bride/,3
2018-10-27,The DUFF,2015,https://letterboxd.com/film/the-duff/,2
2018-10-27,Donnie Darko,2001,https://letterboxd.com/film/donnie-darko/,5
2018-10-27,Silver Linings Playbook,2012,https://letterboxd.com/film/silver-linings-playbook/,3.5
2018-10-27,The Intern,2015,https://letterboxd.com/film/the-intern-2015/,2.5
2018-10-27,The Lobster,2015,https://letterboxd.com/film/the-lobster/,4
2018-10-27,How to Marry a Millionaire,1953,https://letterboxd.com/film/how-to-marry-a-millionaire/,3
2018-10-27,Liquid Truth,2017,https://letterboxd.com/film/liquid-truth/,3
2018-10-27,In Time,2011,https://letterboxd.com/film/in-time/,2
2018-10-27,Aladdin,1992,https://letterboxd.com/film/aladdin/,5
2018-10-27,Beauty and the Beast,1991,https://letterboxd.com/film/beauty-and-the-beast-1991/,4.5
2018-10-27,Tower Heist,2011,https://letterboxd.com/film/tower-heist/,2
2018-10-27,License to Drive,1988,https://letterboxd.com/film/license-to-drive/,3.5
2018-10-27,Mulan,1998,https://letterboxd.com/film/mulan/,5
2018-10-27,World War Z,2013,https://letterboxd.com/film/world-war-z/,2
2018-10-27,Body Electric,2017,https://letterboxd.com/film/body-electric/,2
2018-10-27,De Pernas pro Ar 2,2012,https://letterboxd.com/film/de-pernas-pro-ar-2/,1.5
2018-10-27,Don't Call Me Son,2016,https://letterboxd.com/film/dont-call-me-son/,2
2018-10-27,Freaky Friday,2003,https://letterboxd.com/film/freaky-friday-2003/,3.5
2018-10-27,Os Farofeiros,2018,https://letterboxd.com/film/os-farofeiros/,2
2018-10-27,Harry Potter and the Philosopher's Stone,2001,https://letterboxd.com/film/harry-potter-and-the-philosophers-stone/,4
2018-10-27,Harry Potter and the Goblet of Fire,2005,https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/,3.5
2018-10-27,Saving Private Ryan,1998,https://letterboxd.com/film/saving-private-ryan/,4.5
2018-10-27,Good Bye Lenin!,2003,https://letterboxd.com/film/good-bye-lenin/,4.5
2018-10-27,The Host,2013,https://letterboxd.com/film/the-host-2013/,0.5
2018-10-27,The Boy in the Striped Pyjamas,2008,https://letterboxd.com/film/the-boy-in-the-striped-pyjamas/,3
2018-10-27,Jaws,1975,https://letterboxd.com/film/jaws/,4
2018-10-27,Interview with the Vampire,1994,https://letterboxd.com/film/interview-with-the-vampire/,3.5
2018-10-27,"Love, Simon",2018,https://letterboxd.com/film/love-simon/,4
2018-10-27,"Everything, Everything",2017,https://letterboxd.com/film/everything-everything/,2
2018-10-27,The Parent Trap,1998,https://letterboxd.com/film/the-parent-trap-1998/,3
2018-10-27,Submarine,2010,https://letterboxd.com/film/submarine/,4
2018-10-28,Black Panther,2018,https://letterboxd.com/film/black-panther-2018/,3.5
2018-10-28,Halloween,1978,https://letterboxd.com/film/halloween-1978/,5
2018-10-31,My Neighbor Totoro,1988,https://letterboxd.com/film/my-neighbor-totoro/,5
2018-11-02,Star Wars: Episode I - The Phantom Menace,1999,https://letterboxd.com/film/star-wars-episode-i-the-phantom-menace/,2.5
2018-11-03,Star Wars: Episode II - Attack of the Clones,2002,https://letterboxd.com/film/star-wars-episode-ii-attack-of-the-clones/,1.5
2018-11-04,Avengers: Infinity War,2018,https://letterboxd.com/film/avengers-infinity-war/,4
